"","E","N","group","long","lat"
"1",1575.62285165489,1032.29679789511,1,-17.885121223,27.7979189992507
"2",1570.04730896312,1027.96943783376,1,-17.9264216789999,27.74282459823
"3",1569.74207020434,1027.3497385273,1,-17.9276016919999,27.7365176322277
"4",1569.61764766075,1026.68140248457,1,-17.9269099599999,27.7303734272253
"5",1569.4320430261,1026.05014602537,1,-17.9269099599999,27.724351291223
"6",1568.95071726056,1025.5672987779,1,-17.9301651679999,27.7186546772209
"7",1568.39161307974,1025.42598862438,1,-17.935129361,27.7156436092198
"8",1567.81159730762,1025.41561798508,1,-17.9406632149999,27.713690484219
"9",1567.30083982445,1025.26576423334,1,-17.9451391269999,27.710760796218
"10",1566.94448001589,1024.68891729621,1,-17.9469294909999,27.7046572812156
"11",1566.46914405379,1024.2702039437,1,-17.9503067699999,27.6995303282138
"12",1565.5989747866,1023.95188584329,1,-17.9577530589999,27.6939964732117
"13",1564.67975641326,1023.48156125086,1,-17.9652400379999,27.6869977762091
"14",1564.07506741208,1022.62371156189,1,-17.9686173169999,27.6776797422056
"15",1563.10373996709,1020.27455450462,1,-17.9713028639999,27.6543643121969
"16",1561.96995772021,1019.32135229294,1,-17.9794815749999,27.6425234921924
"17",1560.58440526123,1019.807130542,1,-17.9941300119999,27.6422386611923
"18",1558.89681015151,1021.74648288411,1,-18.0157771479999,27.6534691301965
"19",1557.94264515793,1023.78076868657,1,-18.0306697259999,27.6678734272019
"20",1557.50287271079,1025.51343615775,1,-18.0397843089998,27.681341851207
"21",1556.55535600477,1027.02017930168,1,-18.0531306629999,27.6912295462106
"22",1549.90597447982,1030.57325584088,1,-18.1269425119999,27.700262749214
"23",1548.31544773829,1032.13946656359,1,-18.1466365229999,27.7085635312171
"24",1547.45354114168,1034.0712466766,1,-18.1603897779999,27.7223574762224
"25",1547.90653546663,1038.00048091268,1,-18.1672257149999,27.7575544162355
"26",1550.76249127379,1038.23134753105,1,-18.1404923169999,27.7687848852397
"27",1554.66326790848,1036.36371080827,1,-18.0977677069999,27.7653669162385
"28",1558.23221446328,1033.98856920226,1,-18.0567927729999,27.7564964732352
"29",1559.89158545466,1034.3790283795,1,-18.0419815749999,27.7652041562385
"30",1564.56608255304,1036.53756329803,1,-18.0032445949999,27.7988141822511
"31",1565.59233072143,1037.227995432,1,-17.9953507149999,27.8080508352545
"32",1566.03791420786,1038.30670754589,1,-17.9941300119999,27.8187523332587
"33",1566.59221117852,1038.67679853932,1,-17.9898575509999,27.8237165262606
"34",1568.84730684724,1038.82175047667,1,-17.9686173169999,27.8322207572637
"35",1572.71109556472,1039.6819819023,1,-17.9339493479999,27.8520368382713
"36",1574.50063309276,1038.72401146678,1,-17.9140518869999,27.8495547422703
"37",1575.86455636072,1037.13961616172,1,-17.8964737619999,27.8403180882669
"38",1576.64008943223,1035.36819629151,1,-17.8840225899999,27.827582085262
"39",1576.68432465629,1033.83206821175,1,-17.8792618479999,27.8145205622571
"40",1575.62285165489,1032.29679789511,1,-17.885121223,27.7979189992507
"41",1818.575704137,985.796534344068,2,-15.4156388009999,28.141506239383
"42",1817.87793706538,982.92444121165,2,-15.4149470689999,28.1144880103724
"43",1817.36530989569,978.544437660173,2,-15.4085587229999,28.0748965393571
"44",1817.39216857694,977.749388691804,2,-15.4062393869999,28.0680606013544
"45",1817.28021841908,976.435004928032,2,-15.4039200509999,28.0563011613499
"46",1817.3007267527,974.860898532713,2,-15.3996475899999,28.0426699763445
"47",1817.71342162227,973.290595637093,2,-15.3915909499999,28.0302188043397
"48",1818.31866696982,972.40877459625,2,-15.3834529289999,28.0243187393375
"49",1819.58379080429,971.005955646153,2,-15.3675837879999,28.0158145073342
"50",1819.78629075528,970.23637080725,2,-15.3636368479999,28.0097109923318
"51",1819.07867005338,968.608050542165,2,-15.3662817049999,27.9934756403255
"52",1817.82779167354,966.961246973037,2,-15.3741348949999,27.9754906143187
"53",1817.07865758995,965.145930200276,2,-15.3766983709999,27.9575055883117
"54",1817.86730586677,963.038496391971,2,-15.3636368479999,27.9414736873055
